,RANK,MOVIE_NAME,YEAR,RATINGS,REVIEWS,MOVIE_LINKS
0,1, The Shawshank Redemption,1994,9.3, 2.9M,https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1
1,2, The Godfather,1972,9.2, 2M,https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2
2,3, The Dark Knight,2008,9.0, 2.9M,https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3
3,4, The Godfather Part II,1974,9.0, 1.4M,https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4
4,5, 12 Angry Men,1957,9.0, 872K,https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5
5,6, Schindler's List,1993,9.0, 1.5M,https://www.imdb.com/title/tt0108052/?ref_=chttp_i_6
6,7, The Lord of the Rings: The Return of the King,2003,9.0, 2M,https://www.imdb.com/title/tt0167260/?ref_=chttp_i_7
7,8, Pulp Fiction,1994,8.9, 2.2M,https://www.imdb.com/title/tt0110912/?ref_=chttp_i_8
8,9, The Lord of the Rings: The Fellowship of the Ring,2001,8.9, 2M,https://www.imdb.com/title/tt0120737/?ref_=chttp_i_9
9,10," The Good, the Bad and the Ugly",1966,8.8, 816K,https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10
10,11, Forrest Gump,1994,8.8, 2.3M,https://www.imdb.com/title/tt0109830/?ref_=chttp_i_11
11,12, The Lord of the Rings: The Two Towers,2002,8.8, 1.8M,https://www.imdb.com/title/tt0167261/?ref_=chttp_i_12
12,13, Fight Club,1999,8.8, 2.3M,https://www.imdb.com/title/tt0137523/?ref_=chttp_i_13
13,14, Inception,2010,8.8, 2.6M,https://www.imdb.com/title/tt1375666/?ref_=chttp_i_14
14,15, Star Wars: Episode V - The Empire Strikes Back,1980,8.7, 1.4M,https://www.imdb.com/title/tt0080684/?ref_=chttp_i_15
15,16, The Matrix,1999,8.7, 2.1M,https://www.imdb.com/title/tt0133093/?ref_=chttp_i_16
16,17, Goodfellas,1990,8.7, 1.3M,https://www.imdb.com/title/tt0099685/?ref_=chttp_i_17
17,18, One Flew Over the Cuckoo's Nest,1975,8.7, 1.1M,https://www.imdb.com/title/tt0073486/?ref_=chttp_i_18
18,19, Se7en,1995,8.6, 1.8M,https://www.imdb.com/title/tt0114369/?ref_=chttp_i_19
19,20, Interstellar,2014,8.7, 2.1M,https://www.imdb.com/title/tt0816692/?ref_=chttp_i_20
20,21, It's a Wonderful Life,1946,8.6, 502K,https://www.imdb.com/title/tt0038650/?ref_=chttp_i_21
21,22, Seven Samurai,1954,8.6, 369K,https://www.imdb.com/title/tt0047478/?ref_=chttp_i_22
22,23, The Silence of the Lambs,1991,8.6, 1.6M,https://www.imdb.com/title/tt0102926/?ref_=chttp_i_23
23,24, Saving Private Ryan,1998,8.6, 1.5M,https://www.imdb.com/title/tt0120815/?ref_=chttp_i_24
24,25, City of God,2002,8.6, 805K,https://www.imdb.com/title/tt0317248/?ref_=chttp_i_25
25,26, Life Is Beautiful,1997,8.6, 747K,https://www.imdb.com/title/tt0118799/?ref_=chttp_i_26
26,27, The Green Mile,1999,8.6, 1.4M,https://www.imdb.com/title/tt0120689/?ref_=chttp_i_27
27,28, Terminator 2: Judgment Day,1991,8.6, 1.2M,https://www.imdb.com/title/tt0103064/?ref_=chttp_i_28
28,29, Star Wars: Episode IV - A New Hope,1977,8.6, 1.5M,https://www.imdb.com/title/tt0076759/?ref_=chttp_i_29
29,30, Back to the Future,1985,8.5, 1.3M,https://www.imdb.com/title/tt0088763/?ref_=chttp_i_30
30,31, Spirited Away,2001,8.6, 857K,https://www.imdb.com/title/tt0245429/?ref_=chttp_i_31
31,32, The Pianist,2002,8.5, 920K,https://www.imdb.com/title/tt0253474/?ref_=chttp_i_32
32,33, Dune: Part Two,2024,8.6, 458K,https://www.imdb.com/title/tt15239678/?ref_=chttp_i_33
33,34, Parasite,2019,8.5, 972K,https://www.imdb.com/title/tt6751668/?ref_=chttp_i_34
34,35, Psycho,1960,8.5, 723K,https://www.imdb.com/title/tt0054215/?ref_=chttp_i_35
35,36, Gladiator,2000,8.5, 1.6M,https://www.imdb.com/title/tt0172495/?ref_=chttp_i_36
36,37, Spider-Man: Across the Spider-Verse,2023,8.6, 381K,https://www.imdb.com/title/tt9362722/?ref_=chttp_i_37
37,38, The Lion King,1994,8.5, 1.2M,https://www.imdb.com/title/tt0110357/?ref_=chttp_i_38
38,39, The Departed,2006,8.5, 1.4M,https://www.imdb.com/title/tt0407887/?ref_=chttp_i_39
39,40, Léon: The Professional,1994,8.5, 1.3M,https://www.imdb.com/title/tt0110413/?ref_=chttp_i_40
40,41, American History X,1998,8.5, 1.2M,https://www.imdb.com/title/tt0120586/?ref_=chttp_i_41
41,42, Whiplash,2014,8.5, 1M,https://www.imdb.com/title/tt2582802/?ref_=chttp_i_42
42,43, The Prestige,2006,8.5, 1.5M,https://www.imdb.com/title/tt0482571/?ref_=chttp_i_43
43,44, Grave of the Fireflies,1988,8.5, 314K,https://www.imdb.com/title/tt0095327/?ref_=chttp_i_44
44,45, Harakiri,1962,8.6, 70K,https://www.imdb.com/title/tt0056058/?ref_=chttp_i_45
45,46, The Usual Suspects,1995,8.5, 1.2M,https://www.imdb.com/title/tt0114814/?ref_=chttp_i_46
46,47, Casablanca,1942,8.5, 609K,https://www.imdb.com/title/tt0034583/?ref_=chttp_i_47
47,48, The Intouchables,2011,8.5, 935K,https://www.imdb.com/title/tt1675434/?ref_=chttp_i_48
48,49, Cinema Paradiso,1988,8.5, 285K,https://www.imdb.com/title/tt0095765/?ref_=chttp_i_49
49,50, Modern Times,1936,8.5, 261K,https://www.imdb.com/title/tt0027977/?ref_=chttp_i_50
50,51, Rear Window,1954,8.5, 525K,https://www.imdb.com/title/tt0047396/?ref_=chttp_i_51
51,52, Once Upon a Time in the West,1968,8.5, 351K,https://www.imdb.com/title/tt0064116/?ref_=chttp_i_52
52,53, Alien,1979,8.5, 958K,https://www.imdb.com/title/tt0078748/?ref_=chttp_i_53
53,54, City Lights,1931,8.5, 197K,https://www.imdb.com/title/tt0021749/?ref_=chttp_i_54
54,55, Django Unchained,2012,8.5, 1.7M,https://www.imdb.com/title/tt1853728/?ref_=chttp_i_55
55,56, Apocalypse Now,1979,8.4, 714K,https://www.imdb.com/title/tt0078788/?ref_=chttp_i_56
56,57, Memento,2000,8.4, 1.3M,https://www.imdb.com/title/tt0209144/?ref_=chttp_i_57
57,58, WALL·E,2008,8.4, 1.2M,https://www.imdb.com/title/tt0910970/?ref_=chttp_i_58
58,59, 12th Fail,2023, (120K),Rate,https://www.imdb.com/title/tt23849204/?ref_=chttp_i_59
59,60, Raiders of the Lost Ark,1981,8.4, 1M,https://www.imdb.com/title/tt0082971/?ref_=chttp_i_60
60,61, The Lives of Others,2006,8.4, 413K,https://www.imdb.com/title/tt0405094/?ref_=chttp_i_61
61,62, Sunset Boulevard,1950,8.4, 238K,https://www.imdb.com/title/tt0043014/?ref_=chttp_i_62
62,63, Avengers: Infinity War,2018,8.4, 1.2M,https://www.imdb.com/title/tt4154756/?ref_=chttp_i_63
63,64, Paths of Glory,1957,8.4, 214K,https://www.imdb.com/title/tt0050825/?ref_=chttp_i_64
64,65, Spider-Man: Into the Spider-Verse,2018,8.4, 679K,https://www.imdb.com/title/tt4633694/?ref_=chttp_i_65
65,66, Witness for the Prosecution,1957,8.4, 139K,https://www.imdb.com/title/tt0051201/?ref_=chttp_i_66
66,67, The Shining,1980,8.4, 1.1M,https://www.imdb.com/title/tt0081505/?ref_=chttp_i_67
67,68, The Great Dictator,1940,8.4, 238K,https://www.imdb.com/title/tt0032553/?ref_=chttp_i_68
68,69, Aliens,1986,8.4, 768K,https://www.imdb.com/title/tt0090605/?ref_=chttp_i_69
69,70, Inglourious Basterds,2009,8.4, 1.6M,https://www.imdb.com/title/tt0361748/?ref_=chttp_i_70
70,71, The Dark Knight Rises,2012,8.4, 1.8M,https://www.imdb.com/title/tt1345836/?ref_=chttp_i_71
71,72, Coco,2017,8.4, 598K,https://www.imdb.com/title/tt2380307/?ref_=chttp_i_72
72,73, Dr,1964,8.3, 521K,https://www.imdb.com/title/tt0057012/?ref_=chttp_i_73
73,74, Oldboy,2003,8.3, 641K,https://www.imdb.com/title/tt0364569/?ref_=chttp_i_74
74,75, Amadeus,1984,8.4, 431K,https://www.imdb.com/title/tt0086879/?ref_=chttp_i_75
75,76, American Beauty,1999,8.3, 1.2M,https://www.imdb.com/title/tt0169547/?ref_=chttp_i_76
76,77, Toy Story,1995,8.3, 1.1M,https://www.imdb.com/title/tt0114709/?ref_=chttp_i_77
77,78, Avengers: Endgame,2019,8.4, 1.3M,https://www.imdb.com/title/tt4154796/?ref_=chttp_i_78
78,79, Das Boot,1981, (265K),Rate,https://www.imdb.com/title/tt0082096/?ref_=chttp_i_79
79,80, Braveheart,1995,8.3, 1.1M,https://www.imdb.com/title/tt0112573/?ref_=chttp_i_80
80,81, Good Will Hunting,1997,8.3, 1.1M,https://www.imdb.com/title/tt0119217/?ref_=chttp_i_81
81,82, Princess Mononoke,1997,8.3, 437K,https://www.imdb.com/title/tt0119698/?ref_=chttp_i_82
82,83, Joker,2019,8.4, 1.5M,https://www.imdb.com/title/tt7286456/?ref_=chttp_i_83
83,84, Your Name,2016, (325K),Rate,https://www.imdb.com/title/tt5311514/?ref_=chttp_i_84
84,85, High and Low,1963,8.4, 54K,https://www.imdb.com/title/tt0057565/?ref_=chttp_i_85
85,86, Once Upon a Time in America,1984,8.3, 380K,https://www.imdb.com/title/tt0087843/?ref_=chttp_i_86
86,87, 3 Idiots,2009,8.4, 438K,https://www.imdb.com/title/tt1187043/?ref_=chttp_i_87
87,88, Singin' in the Rain,1952,8.3, 262K,https://www.imdb.com/title/tt0045152/?ref_=chttp_i_88
88,89, Capernaum,2018,8.4, 107K,https://www.imdb.com/title/tt8267604/?ref_=chttp_i_89
89,90, Come and See,1985,8.4, 99K,https://www.imdb.com/title/tt0091251/?ref_=chttp_i_90
90,91, Requiem for a Dream,2000,8.3, 904K,https://www.imdb.com/title/tt0180093/?ref_=chttp_i_91
91,92, Toy Story 3,2010,8.3, 897K,https://www.imdb.com/title/tt0435761/?ref_=chttp_i_92
92,93, Star Wars: Episode VI - Return of the Jedi,1983,8.3, 1.1M,https://www.imdb.com/title/tt0086190/?ref_=chttp_i_93
93,94, Eternal Sunshine of the Spotless Mind,2004,8.3, 1.1M,https://www.imdb.com/title/tt0338013/?ref_=chttp_i_94
94,95, The Hunt,2012,8.3, 367K,https://www.imdb.com/title/tt2106476/?ref_=chttp_i_95
95,96, 2001: A Space Odyssey,1968,8.3, 724K,https://www.imdb.com/title/tt0062622/?ref_=chttp_i_96
96,97, Reservoir Dogs,1992,8.3, 1.1M,https://www.imdb.com/title/tt0105236/?ref_=chttp_i_97
97,98, Ikiru,1952,8.3, 88K,https://www.imdb.com/title/tt0044741/?ref_=chttp_i_98
98,99, Oppenheimer,2023,8.3, 759K,https://www.imdb.com/title/tt15398776/?ref_=chttp_i_99
99,100, Lawrence of Arabia,1962,8.3, 316K,https://www.imdb.com/title/tt0056172/?ref_=chttp_i_100
100,101, The Apartment,1960,8.3, 198K,https://www.imdb.com/title/tt0053604/?ref_=chttp_i_101
101,102, Incendies,2010,8.3, 204K,https://www.imdb.com/title/tt1255953/?ref_=chttp_i_102
102,103, North by Northwest,1959,8.3, 348K,https://www.imdb.com/title/tt0053125/?ref_=chttp_i_103
103,104, Citizen Kane,1941,8.3, 468K,https://www.imdb.com/title/tt0033467/?ref_=chttp_i_104
104,105, M,1931,8.3, 169K,https://www.imdb.com/title/tt0022100/?ref_=chttp_i_105
105,106, Scarface,1983,8.3, 923K,https://www.imdb.com/title/tt0086250/?ref_=chttp_i_106
106,107, Double Indemnity,1944,8.3, 168K,https://www.imdb.com/title/tt0036775/?ref_=chttp_i_107
107,108, Vertigo,1958,8.3, 430K,https://www.imdb.com/title/tt0052357/?ref_=chttp_i_108
108,109, Full Metal Jacket,1987,8.3, 795K,https://www.imdb.com/title/tt0093058/?ref_=chttp_i_109
109,110, Amélie,2001,8.3, 797K,https://www.imdb.com/title/tt0211915/?ref_=chttp_i_110
110,111, Heat,1995,8.3, 724K,https://www.imdb.com/title/tt0113277/?ref_=chttp_i_111
111,112, Up,2009,8.3, 1.1M,https://www.imdb.com/title/tt1049413/?ref_=chttp_i_112
112,113, A Clockwork Orange,1971,8.3, 885K,https://www.imdb.com/title/tt0066921/?ref_=chttp_i_113
113,114, To Kill a Mockingbird,1962,8.3, 334K,https://www.imdb.com/title/tt0056592/?ref_=chttp_i_114
114,115, A Separation,2011,8.3, 260K,https://www.imdb.com/title/tt1832382/?ref_=chttp_i_115
115,116, The Sting,1973,8.3, 281K,https://www.imdb.com/title/tt0070735/?ref_=chttp_i_116
116,117, Indiana Jones and the Last Crusade,1989,8.2, 815K,https://www.imdb.com/title/tt0097576/?ref_=chttp_i_117
117,118, Die Hard,1988,8.2, 951K,https://www.imdb.com/title/tt0095016/?ref_=chttp_i_118
118,119, Like Stars on Earth,2007,8.3, 208K,https://www.imdb.com/title/tt0986264/?ref_=chttp_i_119
119,120, Metropolis,1927,8.3, 187K,https://www.imdb.com/title/tt0017136/?ref_=chttp_i_120
120,121, Snatch,2000,8.2, 915K,https://www.imdb.com/title/tt0208092/?ref_=chttp_i_121
121,122, 1917,2019,8.2, 684K,https://www.imdb.com/title/tt8579674/?ref_=chttp_i_122
122,123, L,1997,8.2, 621K,https://www.imdb.com/title/tt0119488/?ref_=chttp_i_123
123,124, Hamilton,2020,8.3, 115K,https://www.imdb.com/title/tt8503618/?ref_=chttp_i_124
124,125, Bicycle Thieves,1948,8.3, 176K,https://www.imdb.com/title/tt0040522/?ref_=chttp_i_125
125,126, Taxi Driver,1976,8.2, 928K,https://www.imdb.com/title/tt0075314/?ref_=chttp_i_126
126,127, Downfall,2004,8.2, 377K,https://www.imdb.com/title/tt0363163/?ref_=chttp_i_127
127,128, Dangal,2016,8.3, 213K,https://www.imdb.com/title/tt5074352/?ref_=chttp_i_128
128,129, For a Few Dollars More,1965,8.2, 276K,https://www.imdb.com/title/tt0059578/?ref_=chttp_i_129
129,130, Batman Begins,2005,8.2, 1.6M,https://www.imdb.com/title/tt0372784/?ref_=chttp_i_130
130,131, The Wolf of Wall Street,2013,8.2, 1.6M,https://www.imdb.com/title/tt0993846/?ref_=chttp_i_131
131,132, Some Like It Hot,1959,8.2, 285K,https://www.imdb.com/title/tt0053291/?ref_=chttp_i_132
132,133, Green Book,2018,8.2, 580K,https://www.imdb.com/title/tt6966692/?ref_=chttp_i_133
133,134, The Kid,1921,8.2, 136K,https://www.imdb.com/title/tt0012349/?ref_=chttp_i_134
134,135, The Father,2020,8.2, 196K,https://www.imdb.com/title/tt10272386/?ref_=chttp_i_135
135,136, Judgment at Nuremberg,1961,8.3, 86K,https://www.imdb.com/title/tt0055031/?ref_=chttp_i_136
136,137, The Truman Show,1998,8.2, 1.2M,https://www.imdb.com/title/tt0120382/?ref_=chttp_i_137
137,138, All About Eve,1950,8.2, 139K,https://www.imdb.com/title/tt0042192/?ref_=chttp_i_138
138,139, Shutter Island,2010,8.2, 1.5M,https://www.imdb.com/title/tt1130884/?ref_=chttp_i_139
139,140, Top Gun: Maverick,2022,8.2, 712K,https://www.imdb.com/title/tt1745960/?ref_=chttp_i_140
140,141, There Will Be Blood,2007,8.2, 645K,https://www.imdb.com/title/tt0469494/?ref_=chttp_i_141
141,142, Casino,1995,8.2, 568K,https://www.imdb.com/title/tt0112641/?ref_=chttp_i_142
142,143, Jurassic Park,1993,8.2, 1.1M,https://www.imdb.com/title/tt0107290/?ref_=chttp_i_143
143,144, Ran,1985,8.2, 137K,https://www.imdb.com/title/tt0089881/?ref_=chttp_i_144
144,145, The Sixth Sense,1999,8.2, 1.1M,https://www.imdb.com/title/tt0167404/?ref_=chttp_i_145
145,146, Pan's Labyrinth,2006,8.2, 706K,https://www.imdb.com/title/tt0457430/?ref_=chttp_i_146
146,147, Unforgiven,1992,8.2, 438K,https://www.imdb.com/title/tt0105695/?ref_=chttp_i_147
147,148, No Country for Old Men,2007,8.2, 1.1M,https://www.imdb.com/title/tt0477348/?ref_=chttp_i_148
148,149, A Beautiful Mind,2001,8.2, 992K,https://www.imdb.com/title/tt0268978/?ref_=chttp_i_149
149,150, The Thing,1982,8.2, 470K,https://www.imdb.com/title/tt0084787/?ref_=chttp_i_150
150,151, Kill Bill: Vol,2003,8.2, 1.2M,https://www.imdb.com/title/tt0266697/?ref_=chttp_i_151
151,152, The Treasure of the Sierra Madre,1948,8.2, 133K,https://www.imdb.com/title/tt0040897/?ref_=chttp_i_152
152,153, Yojimbo,1961,8.2, 132K,https://www.imdb.com/title/tt0055630/?ref_=chttp_i_153
153,154, Monty Python and the Holy Grail,1975,8.2, 573K,https://www.imdb.com/title/tt0071853/?ref_=chttp_i_154
154,155, The Great Escape,1963,8.2, 260K,https://www.imdb.com/title/tt0057115/?ref_=chttp_i_155
155,156, Finding Nemo,2003,8.2, 1.1M,https://www.imdb.com/title/tt0266543/?ref_=chttp_i_156
156,157, Prisoners,2013,8.2, 817K,https://www.imdb.com/title/tt1392214/?ref_=chttp_i_157
157,158, Howl's Moving Castle,2004,8.2, 454K,https://www.imdb.com/title/tt0347149/?ref_=chttp_i_158
158,159, Rashomon,1950,8.2, 182K,https://www.imdb.com/title/tt0042876/?ref_=chttp_i_159
159,160, The Elephant Man,1980,8.2, 260K,https://www.imdb.com/title/tt0080678/?ref_=chttp_i_160
160,161, Dial M for Murder,1954,8.2, 190K,https://www.imdb.com/title/tt0046912/?ref_=chttp_i_161
161,162, Chinatown,1974,8.1, 352K,https://www.imdb.com/title/tt0071315/?ref_=chttp_i_162
162,163, Gone with the Wind,1939,8.2, 336K,https://www.imdb.com/title/tt0031381/?ref_=chttp_i_163
163,164," Lock, Stock and Two Smoking Barrels",1998,8.1, 619K,https://www.imdb.com/title/tt0120735/?ref_=chttp_i_164
164,165, V for Vendetta,2005,8.2, 1.2M,https://www.imdb.com/title/tt0434409/?ref_=chttp_i_165
165,166, The Secret in Their Eyes,2009,8.2, 224K,https://www.imdb.com/title/tt1305806/?ref_=chttp_i_166
166,167, Inside Out,2015,8.1, 800K,https://www.imdb.com/title/tt2096673/?ref_=chttp_i_167
167,168, Raging Bull,1980,8.1, 382K,https://www.imdb.com/title/tt0081398/?ref_=chttp_i_168
168,169," Three Billboards Outside Ebbing, Missouri",2017,8.1, 559K,https://www.imdb.com/title/tt5027774/?ref_=chttp_i_169
169,170, Trainspotting,1996,8.1, 729K,https://www.imdb.com/title/tt0117951/?ref_=chttp_i_170
170,171, The Bridge on the River Kwai,1957,8.1, 234K,https://www.imdb.com/title/tt0050212/?ref_=chttp_i_171
171,172, Klaus,2019,8.2, 191K,https://www.imdb.com/title/tt4729430/?ref_=chttp_i_172
172,173, Fargo,1996,8.1, 730K,https://www.imdb.com/title/tt0116282/?ref_=chttp_i_173
173,174, Catch Me If You Can,2002,8.1, 1.1M,https://www.imdb.com/title/tt0264464/?ref_=chttp_i_174
174,175, Spider-Man: No Way Home,2021,8.2, 889K,https://www.imdb.com/title/tt10872600/?ref_=chttp_i_175
175,176, Warrior,2011,8.1, 500K,https://www.imdb.com/title/tt1291584/?ref_=chttp_i_176
176,177, Gran Torino,2008,8.1, 818K,https://www.imdb.com/title/tt1205489/?ref_=chttp_i_177
177,178, Harry Potter and the Deathly Hallows: Part 2,2011,8.1, 954K,https://www.imdb.com/title/tt1201607/?ref_=chttp_i_178
178,179, Million Dollar Baby,2004,8.1, 725K,https://www.imdb.com/title/tt0405159/?ref_=chttp_i_179
179,180, My Neighbor Totoro,1988,8.1, 384K,https://www.imdb.com/title/tt0096283/?ref_=chttp_i_180
180,181, Children of Heaven,1997,8.2, 81K,https://www.imdb.com/title/tt0118849/?ref_=chttp_i_181
181,182, 12 Years a Slave,2013,8.1, 744K,https://www.imdb.com/title/tt2024544/?ref_=chttp_i_182
182,183, Blade Runner,1982,8.1, 827K,https://www.imdb.com/title/tt0083658/?ref_=chttp_i_183
183,184, Ben-Hur,1959,8.1, 255K,https://www.imdb.com/title/tt0052618/?ref_=chttp_i_184
184,185, Before Sunrise,1995,8.1, 342K,https://www.imdb.com/title/tt0112471/?ref_=chttp_i_185
185,186, Barry Lyndon,1975,8.1, 184K,https://www.imdb.com/title/tt0072684/?ref_=chttp_i_186
186,187, The Grand Budapest Hotel,2014,8.1, 892K,https://www.imdb.com/title/tt2278388/?ref_=chttp_i_187
187,188, Mad Max: Fury Road,2015,8.1, 1.1M,https://www.imdb.com/title/tt1392190/?ref_=chttp_i_188
188,189, Gone Girl,2014,8.1, 1.1M,https://www.imdb.com/title/tt2267998/?ref_=chttp_i_189
189,190, Hacksaw Ridge,2016,8.1, 601K,https://www.imdb.com/title/tt2119532/?ref_=chttp_i_190
190,191, Dead Poets Society,1989,8.1, 552K,https://www.imdb.com/title/tt0097165/?ref_=chttp_i_191
191,192, The Gold Rush,1925,8.1, 119K,https://www.imdb.com/title/tt0015864/?ref_=chttp_i_192
192,193, Memories of Murder,2003,8.1, 219K,https://www.imdb.com/title/tt0353969/?ref_=chttp_i_193
193,194, In the Name of the Father,1993,8.1, 188K,https://www.imdb.com/title/tt0107207/?ref_=chttp_i_194
194,195, Wild Tales,2014,8.1, 218K,https://www.imdb.com/title/tt3011894/?ref_=chttp_i_195
195,196," Monsters, Inc",2001,8.1, 986K,https://www.imdb.com/title/tt0198781/?ref_=chttp_i_196
196,197, The Deer Hunter,1978,8.1, 364K,https://www.imdb.com/title/tt0077416/?ref_=chttp_i_197
197,198, The General,1926,8.1, 99K,https://www.imdb.com/title/tt0017925/?ref_=chttp_i_198
198,199, On the Waterfront,1954,8.1, 166K,https://www.imdb.com/title/tt0047296/?ref_=chttp_i_199
199,200, Sherlock Jr,1924,8.2, 58K,https://www.imdb.com/title/tt0015324/?ref_=chttp_i_200
200,201, How to Train Your Dragon,2010,8.1, 806K,https://www.imdb.com/title/tt0892769/?ref_=chttp_i_201
201,202, Jaws,1975,8.1, 664K,https://www.imdb.com/title/tt0073195/?ref_=chttp_i_202
202,203, Mary and Max,2009,8.1, 188K,https://www.imdb.com/title/tt0978762/?ref_=chttp_i_203
203,204, The Third Man,1949,8.1, 183K,https://www.imdb.com/title/tt0041959/?ref_=chttp_i_204
204,205, The Wages of Fear,1953,8.1, 67K,https://www.imdb.com/title/tt0046268/?ref_=chttp_i_205
205,206, Ratatouille,2007,8.1, 833K,https://www.imdb.com/title/tt0382932/?ref_=chttp_i_206
206,207, Wild Strawberries,1957,8.1, 116K,https://www.imdb.com/title/tt0050986/?ref_=chttp_i_207
207,208, Mr,1939,8.1, 122K,https://www.imdb.com/title/tt0031679/?ref_=chttp_i_208
208,209, Ford v Ferrari,2019,8.1, 483K,https://www.imdb.com/title/tt1950186/?ref_=chttp_i_209
209,210, Tokyo Story,1953,8.1, 69K,https://www.imdb.com/title/tt0046438/?ref_=chttp_i_210
210,211, The Big Lebowski,1998,8.1, 865K,https://www.imdb.com/title/tt0118715/?ref_=chttp_i_211
211,212, Rocky,1976,8.1, 632K,https://www.imdb.com/title/tt0075148/?ref_=chttp_i_212
212,213, The Seventh Seal,1957,8.1, 200K,https://www.imdb.com/title/tt0050976/?ref_=chttp_i_213
213,214, Room,2015,8.1, 453K,https://www.imdb.com/title/tt3170832/?ref_=chttp_i_214
214,215, Logan,2017,8.1, 838K,https://www.imdb.com/title/tt3315342/?ref_=chttp_i_215
215,216, Spotlight,2015,8.1, 504K,https://www.imdb.com/title/tt1895587/?ref_=chttp_i_216
216,217, Hotel Rwanda,2004,8.1, 374K,https://www.imdb.com/title/tt0395169/?ref_=chttp_i_217
217,218, The Terminator,1984,8.1, 930K,https://www.imdb.com/title/tt0088247/?ref_=chttp_i_218
218,219, Platoon,1986,8.1, 442K,https://www.imdb.com/title/tt0091763/?ref_=chttp_i_219
219,220, The Passion of Joan of Arc,1928,8.1, 61K,https://www.imdb.com/title/tt0019254/?ref_=chttp_i_220
220,221, La haine,1995,8.1, 198K,https://www.imdb.com/title/tt0113247/?ref_=chttp_i_221
221,222, Before Sunset,2004,8.1, 290K,https://www.imdb.com/title/tt0381681/?ref_=chttp_i_222
222,223, Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1, 1.2M,https://www.imdb.com/title/tt0325980/?ref_=chttp_i_223
223,224, The Best Years of Our Lives,1946,8.1, 71K,https://www.imdb.com/title/tt0036868/?ref_=chttp_i_224
224,225, The Exorcist,1973,8.1, 458K,https://www.imdb.com/title/tt0070047/?ref_=chttp_i_225
225,226, Jai Bhim,2021,8.7, 218K,https://www.imdb.com/title/tt15097216/?ref_=chttp_i_226
226,227, Rush,2013,8.1, 517K,https://www.imdb.com/title/tt1979320/?ref_=chttp_i_227
227,228, Network,1976,8.1, 172K,https://www.imdb.com/title/tt0074958/?ref_=chttp_i_228
228,229, The Wizard of Oz,1939,8.1, 431K,https://www.imdb.com/title/tt0032138/?ref_=chttp_i_229
229,230, Stand by Me,1986,8.1, 445K,https://www.imdb.com/title/tt0092005/?ref_=chttp_i_230
230,231, The Incredibles,2004,8.0, 815K,https://www.imdb.com/title/tt0317705/?ref_=chttp_i_231
231,232, Hachi: A Dog's Tale,2009,8.1, 314K,https://www.imdb.com/title/tt1028532/?ref_=chttp_i_232
232,233, My Father and My Son,2005,8.2, 93K,https://www.imdb.com/title/tt0476735/?ref_=chttp_i_233
233,234, The Sound of Music,1965,8.1, 263K,https://www.imdb.com/title/tt0059742/?ref_=chttp_i_234
234,235, The Handmaiden,2016,8.1, 175K,https://www.imdb.com/title/tt4016934/?ref_=chttp_i_235
235,236, Into the Wild,2007,8.1, 661K,https://www.imdb.com/title/tt0758758/?ref_=chttp_i_236
236,237, To Be or Not to Be,1942,8.1, 43K,https://www.imdb.com/title/tt0035446/?ref_=chttp_i_237
237,238, The Battle of Algiers,1966,8.1, 66K,https://www.imdb.com/title/tt0058946/?ref_=chttp_i_238
238,239, The Grapes of Wrath,1940,8.1, 101K,https://www.imdb.com/title/tt0032551/?ref_=chttp_i_239
239,240, Groundhog Day,1993,8.0, 689K,https://www.imdb.com/title/tt0107048/?ref_=chttp_i_240
240,241, Amores Perros,2000,8.1, 254K,https://www.imdb.com/title/tt0245712/?ref_=chttp_i_241
241,242, The Iron Giant,1999,8.1, 230K,https://www.imdb.com/title/tt0129167/?ref_=chttp_i_242
242,243, Rebecca,1940,8.1, 148K,https://www.imdb.com/title/tt0032976/?ref_=chttp_i_243
243,244, Cool Hand Luke,1967,8.1, 190K,https://www.imdb.com/title/tt0061512/?ref_=chttp_i_244
244,245, The Help,2011,8.1, 496K,https://www.imdb.com/title/tt1454029/?ref_=chttp_i_245
245,246, It Happened One Night,1934,8.1, 113K,https://www.imdb.com/title/tt0025316/?ref_=chttp_i_246
246,247, Drishyam,2015,8.2, 96K,https://www.imdb.com/title/tt4430212/?ref_=chttp_i_247
247,248, Aladdin,1992,8.0, 471K,https://www.imdb.com/title/tt0103639/?ref_=chttp_i_248
248,249, Dances with Wolves,1990,8.0, 293K,https://www.imdb.com/title/tt0099348/?ref_=chttp_i_249
249,250, Scent of a Woman,1992,8.0, 332K,https://www.imdb.com/title/tt0105323/?ref_=chttp_i_250
